danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.56,0.679,10,-9.562,1,0.0402,0.282,0.0,0.0852,0.331,131.72,135670,4
0.62,0.104,3,-17.733,1,0.0433,0.991,0.912,0.112,0.0985,119.381,292093,4
0.218,0.281,11,-22.387,1,0.0798,0.25,0.0319,0.264,0.0584,75.217,263893,4
0.447,0.743,0,-6.574,1,0.0282,0.209,0.0,0.0974,0.567,143.993,242040,4
0.328,0.0415,7,-30.13,1,0.0422,0.988,0.939,0.0988,0.108,112.619,175420,3
0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480,4
0.787,0.765,0,-6.331,1,0.0265,0.231,1.79e-05,0.323,0.964,115.979,204827,4
0.397,0.0496,3,-22.0,1,0.0344,0.981,0.922,0.109,0.174,131.946,293827,4
0.573,0.765,6,-6.594,1,0.0305,0.00107,5.74e-05,0.114,0.359,100.024,253480,4
0.478,0.926,6,-4.728,0,0.0753,0.0011,0.0,0.447,0.312,92.994,295763,4
0.583,0.882,5,-5.08,0,0.0282,0.0145,0.000945,0.103,0.504,131.981,260333,4
0.723,0.0325,0,-19.63,0,0.219,0.985,0.879,0.103,0.0591,71.336,121765,4
0.761,0.686,8,-6.821,0,0.0499,0.0671,0.0208,0.0544,0.798,122.98,285000,4
0.802,0.951,10,-3.933,0,0.189,0.482,0.00305,0.319,0.695,106.019,191493,4
0.61,0.875,5,-5.455,0,0.0333,0.0283,0.908,0.114,0.873,144.999,309023,4
0.68,0.625,11,-7.0,0,0.0353,0.0645,5.81e-05,0.109,0.814,94.02,266000,4
0.352,0.912,7,-4.253,1,0.0725,0.00197,0.0,0.193,0.351,166.795,220147,4
0.524,0.83,11,-8.649,0,0.047,0.0636,0.859,0.154,0.35,150.123,550360,4
0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058,212547,4
0.628,0.484,10,-7.588,1,0.0319,0.469,1.23e-05,0.126,0.642,63.476,216627,4
0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001,279307,4
0.62,0.67,2,-11.575,0,0.0591,0.853,0.896,0.156,0.295,113.492,520293,4
0.352,0.529,4,-10.335,0,0.0378,0.00249,0.000309,0.0943,0.378,137.216,325600,4
0.417,0.443,5,-6.261,1,0.0328,0.709,0.0,0.217,0.47,119.903,155342,4
0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,204733,4
0.676,0.699,5,-9.13,1,0.0512,0.0265,0.878,0.608,0.747,103.782,446667,4
0.562,0.502,5,-5.969,1,0.0254,0.816,3.8e-05,0.102,0.353,90.004,253213,4
0.609,0.746,5,-5.429,0,0.0814,0.0185,0.0,0.306,0.629,80.967,194374,4
0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4
0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
0.64,0.884,6,-2.609,1,0.0428,0.0226,0.0,0.187,0.573,124.968,244000,4
0.328,0.826,6,-5.085,1,0.0362,0.000224,0.000944,0.0818,0.341,106.606,282093,4
0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,293147,3
0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,197293,4
0.559,0.289,10,-19.201,0,0.146,0.312,0.872,0.118,0.359,165.585,387187,5
0.694,0.515,4,-8.663,0,0.0736,0.00666,0.622,0.0884,0.566,128.246,212888,4
0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,230133,4
0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,242840,4
0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,190187,4
0.354,0.116,4,-28.692,0,0.0399,0.987,0.883,0.124,0.181,82.627,116960,4
0.644,0.834,4,-6.473,1,0.0275,0.156,0.0,0.112,0.593,117.043,215547,4
0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,262533,4
0.412,0.77,11,-6.057,0,0.18,0.462,1.5e-06,0.0485,0.418,101.955,254493,3
0.556,0.458,4,-14.715,1,0.038,0.861,6.35e-06,0.384,0.769,144.368,186347,4
0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4
0.664,0.601,2,-8.455,0,0.0297,0.0652,0.0,0.254,0.66,87.008,253445,4
0.529,0.406,10,-14.531,0,0.0471,0.65,0.513,0.264,0.363,160.936,212413,3
0.654,0.146,6,-15.968,0,0.0843,0.598,0.935,0.11,0.338,124.011,114194,4
0.59,0.208,10,-13.25,1,0.0316,0.466,2.81e-05,0.115,0.293,90.084,211667,4
0.885,0.503,10,-11.015,0,0.12,0.172,0.185,0.268,0.764,76.006,287400,4
0.636,0.739,3,-7.651,1,0.0368,0.174,0.0,0.188,0.352,141.965,223560,4
0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,4
0.54,0.967,1,-4.174,0,0.162,0.00796,0.0,0.683,0.293,136.896,247373,4
0.718,0.693,0,-10.661,0,0.0382,0.165,0.815,0.104,0.664,121.992,300984,4
0.247,0.0383,5,-22.76,1,0.0363,0.955,0.714,0.108,0.136,108.252,758267,4
0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4
0.515,0.976,11,-3.117,1,0.167,4.62e-06,0.000315,0.117,0.134,111.985,209493,4
0.558,0.596,6,-7.823,0,0.0376,0.101,0.95,0.267,0.301,171.238,325744,4
0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,277680,3
0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613,4
0.478,0.397,2,-9.132,1,0.0779,0.34,0.0,0.13,0.353,125.781,269907,4
0.616,0.893,11,-3.588,1,0.0375,0.000937,0.0,0.111,0.567,111.959,218947,4
0.526,0.756,7,-5.062,1,0.218,0.0267,1.53e-05,0.048,0.533,178.229,180506,4
0.621,0.43,7,-11.163,1,0.0343,0.69,0.0,0.075,0.938,127.74,135200,4
0.168,0.746,9,-5.043,1,0.0443,0.00959,0.0,0.176,0.539,78.461,208480,4
0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4
0.419,0.814,0,-5.738,1,0.402,0.454,0.00177,0.527,0.345,132.638,244840,4
0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,4
0.479,0.822,4,-6.412,0,0.0444,0.00434,4.76e-06,0.0843,0.562,130.035,255720,4
0.411,0.383,9,-10.256,1,0.0307,0.674,0.00537,0.0776,0.446,84.97,205760,4
0.497,0.13,6,-15.571,1,0.0436,0.841,0.0,0.111,0.179,130.769,181136,3
0.678,0.713,8,-6.451,1,0.0487,0.00136,0.865,0.0837,0.19,127.993,330000,4
0.562,0.729,5,-5.37,1,0.025,0.0205,0.000539,0.115,0.461,79.963,262339,4
0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,237493,4
0.45,0.0437,10,-29.46,1,0.0374,0.971,0.88,0.0948,0.0988,63.938,289693,4
0.655,0.31,0,-13.4,1,0.0866,0.573,0.0,0.119,0.665,121.999,353267,4
0.436,0.591,11,-5.465,0,0.0289,0.0935,0.0408,0.0902,0.108,79.975,350641,4
0.227,0.0227,11,-29.761,1,0.0432,0.988,0.909,0.103,0.04,84.99,498867,4
0.652,0.748,0,-5.242,1,0.0887,0.0849,0.0,0.604,0.652,94.1,267413,4
0.559,0.67,7,-4.985,1,0.0474,0.592,0.000184,0.171,0.438,78.957,221895,4
