danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.589,0.867,10,-4.523,1,0.0385,0.041,0,0.306,0.795,94.52,audio_features,4tK4ARuilOrBzwVQK73E0Y,spotify:track:4tK4ARuilOrBzwVQK73E0Y,https://api.spotify.com/v1/tracks/4tK4ARuilOrBzwVQK73E0Y,https://api.spotify.com/v1/audio-analysis/4tK4ARuilOrBzwVQK73E0Y,256441,4,2002,acoustic
0.685,0.15,2,-20.543,1,0.039,0.797,0.0461,0.1,0.125,124.956,audio_features,0Y1fueUFu8jQtUxdUmOojf,spotify:track:0Y1fueUFu8jQtUxdUmOojf,https://api.spotify.com/v1/tracks/0Y1fueUFu8jQtUxdUmOojf,https://api.spotify.com/v1/audio-analysis/0Y1fueUFu8jQtUxdUmOojf,379520,4,2002,acoustic
0.615,0.812,7,-6.573,1,0.0458,0.184,0,0.328,0.74,98.954,audio_features,2mKjs6s0Z1imKKb6gOk628,spotify:track:2mKjs6s0Z1imKKb6gOk628,https://api.spotify.com/v1/tracks/2mKjs6s0Z1imKKb6gOk628,https://api.spotify.com/v1/audio-analysis/2mKjs6s0Z1imKKb6gOk628,218240,4,2002,acoustic
0.412,0.549,5,-9.51,1,0.0277,0.117,6.71e-06,0.0879,0.611,92.79,audio_features,2PT9QDg6vNIoYVhApXsbKj,spotify:track:2PT9QDg6vNIoYVhApXsbKj,https://api.spotify.com/v1/tracks/2PT9QDg6vNIoYVhApXsbKj,https://api.spotify.com/v1/audio-analysis/2PT9QDg6vNIoYVhApXsbKj,129440,1,2002,acoustic
0.583,0.33,6,-6.725,1,0.0278,0.804,0,0.105,0.416,94.666,audio_features,1v76gn29TvpZg2areWXbxP,spotify:track:1v76gn29TvpZg2areWXbxP,https://api.spotify.com/v1/tracks/1v76gn29TvpZg2areWXbxP,https://api.spotify.com/v1/audio-analysis/1v76gn29TvpZg2areWXbxP,213533,4,2002,acoustic
0.501,0.104,4,-25.111,1,0.0355,0.872,0.00298,0.116,0.302,154.798,audio_features,6okQlv5v9VaJEzoxBUAx4S,spotify:track:6okQlv5v9VaJEzoxBUAx4S,https://api.spotify.com/v1/tracks/6okQlv5v9VaJEzoxBUAx4S,https://api.spotify.com/v1/audio-analysis/6okQlv5v9VaJEzoxBUAx4S,257160,4,2002,acoustic
0.726,0.604,2,-9.055,1,0.0407,0.774,0.704,0.221,0.72,95.754,audio_features,0bwwuOZT6pUeSbmep11qjx,spotify:track:0bwwuOZT6pUeSbmep11qjx,https://api.spotify.com/v1/tracks/0bwwuOZT6pUeSbmep11qjx,https://api.spotify.com/v1/audio-analysis/0bwwuOZT6pUeSbmep11qjx,175013,4,2002,acoustic
0.635,0.813,8,-6.467,1,0.027,0.215,9.7e-06,0.0941,0.83,131.982,audio_features,1iVV0ZrLniocL6V9T4cZVV,spotify:track:1iVV0ZrLniocL6V9T4cZVV,https://api.spotify.com/v1/tracks/1iVV0ZrLniocL6V9T4cZVV,https://api.spotify.com/v1/audio-analysis/1iVV0ZrLniocL6V9T4cZVV,152067,4,2002,acoustic
0.619,0.793,5,-5.964,1,0.0661,0.263,0,0.0828,0.892,177.991,audio_features,3FKp7QAJoLHPsywOp6UvMH,spotify:track:3FKp7QAJoLHPsywOp6UvMH,https://api.spotify.com/v1/tracks/3FKp7QAJoLHPsywOp6UvMH,https://api.spotify.com/v1/audio-analysis/3FKp7QAJoLHPsywOp6UvMH,214552,4,2002,acoustic
0.41,0.872,7,-3.484,1,0.0916,0.501,1.66e-06,0.289,0.873,179.287,audio_features,7qAXFSkUUCjKZCRZfIk9FK,spotify:track:7qAXFSkUUCjKZCRZfIk9FK,https://api.spotify.com/v1/tracks/7qAXFSkUUCjKZCRZfIk9FK,https://api.spotify.com/v1/audio-analysis/7qAXFSkUUCjKZCRZfIk9FK,237333,4,2002,acoustic
