danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.566,0.733,4,-5.302,1,0.0699,0.083,1.55e-06,0.362,0.636,178.828,audio_features,0jDROv5ssPfOrkj23VqEIq,spotify:track:0jDROv5ssPfOrkj23VqEIq,https://api.spotify.com/v1/tracks/0jDROv5ssPfOrkj23VqEIq,https://api.spotify.com/v1/audio-analysis/0jDROv5ssPfOrkj23VqEIq,215213,4,2022,acoustic
0.678,0.277,11,-10.537,1,0.0602,0.843,3.91e-06,0.104,0.238,76.935,audio_features,0ZpcK7pDA45LAVQFTJ2ieb,spotify:track:0ZpcK7pDA45LAVQFTJ2ieb,https://api.spotify.com/v1/tracks/0ZpcK7pDA45LAVQFTJ2ieb,https://api.spotify.com/v1/audio-analysis/0ZpcK7pDA45LAVQFTJ2ieb,224333,4,2022,acoustic
0.566,0.733,4,-5.302,1,0.0699,0.083,1.55e-06,0.362,0.636,178.828,audio_features,0R7EWhquaAICmyE5MZqt3q,spotify:track:0R7EWhquaAICmyE5MZqt3q,https://api.spotify.com/v1/tracks/0R7EWhquaAICmyE5MZqt3q,https://api.spotify.com/v1/audio-analysis/0R7EWhquaAICmyE5MZqt3q,215213,4,2022,acoustic
0.335,0.194,4,-14.157,1,0.0381,0.772,0,0.11,0.117,73.7,audio_features,2XLOJXuZz9PPUaET1Mlhrf,spotify:track:2XLOJXuZz9PPUaET1Mlhrf,https://api.spotify.com/v1/tracks/2XLOJXuZz9PPUaET1Mlhrf,https://api.spotify.com/v1/audio-analysis/2XLOJXuZz9PPUaET1Mlhrf,178600,3,2022,acoustic
0.643,0.638,1,-4.947,0,0.0407,0.205,0,0.0707,0.601,82.0,audio_features,7JSEewFJN4WMWpdiVY7Iid,spotify:track:7JSEewFJN4WMWpdiVY7Iid,https://api.spotify.com/v1/tracks/7JSEewFJN4WMWpdiVY7Iid,https://api.spotify.com/v1/audio-analysis/7JSEewFJN4WMWpdiVY7Iid,226107,4,2022,acoustic
0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,audio_features,0zSBRakuVqmvUB4eCWREAz,spotify:track:0zSBRakuVqmvUB4eCWREAz,https://api.spotify.com/v1/tracks/0zSBRakuVqmvUB4eCWREAz,https://api.spotify.com/v1/audio-analysis/0zSBRakuVqmvUB4eCWREAz,240166,3,2022,acoustic
0.722,0.867,11,-5.062,0,0.0499,0.234,0,0.245,0.676,124.956,audio_features,0FnuMEhzsfJQG3YDAwFdLd,spotify:track:0FnuMEhzsfJQG3YDAwFdLd,https://api.spotify.com/v1/tracks/0FnuMEhzsfJQG3YDAwFdLd,https://api.spotify.com/v1/audio-analysis/0FnuMEhzsfJQG3YDAwFdLd,234760,4,2022,acoustic
0.698,0.45,11,-8.784,1,0.0442,0.571,0,0.113,0.68,150.999,audio_features,1e97fgSuRTinpGMEUQJx4W,spotify:track:1e97fgSuRTinpGMEUQJx4W,https://api.spotify.com/v1/tracks/1e97fgSuRTinpGMEUQJx4W,https://api.spotify.com/v1/audio-analysis/1e97fgSuRTinpGMEUQJx4W,242040,4,2022,acoustic
0.643,0.638,1,-4.947,0,0.0407,0.205,0,0.0707,0.601,82.0,audio_features,0TzkpSG38ghfxi98aZtJTc,spotify:track:0TzkpSG38ghfxi98aZtJTc,https://api.spotify.com/v1/tracks/0TzkpSG38ghfxi98aZtJTc,https://api.spotify.com/v1/audio-analysis/0TzkpSG38ghfxi98aZtJTc,226107,4,2022,acoustic
0.698,0.45,11,-8.784,1,0.0442,0.571,0,0.113,0.68,150.999,audio_features,54POUczm8HfLkad6dZw5N7,spotify:track:54POUczm8HfLkad6dZw5N7,https://api.spotify.com/v1/tracks/54POUczm8HfLkad6dZw5N7,https://api.spotify.com/v1/audio-analysis/54POUczm8HfLkad6dZw5N7,242040,4,2022,acoustic
