danceability,key,mode,speechiness,liveness,tempo,time_signature
0.56,10,1,0.0402,0.0852,131.72,4
0.62,3,1,0.0433,0.112,119.381,4
0.218,11,1,0.0798,0.264,75.217,4
0.447,0,1,0.0282,0.0974,143.993,4
0.328,7,1,0.0422,0.0988,112.619,3
0.498,6,0,0.0421,0.139,89.342,4
0.787,0,1,0.0265,0.323,115.979,4
0.397,3,1,0.0344,0.109,131.946,4
0.573,6,1,0.0305,0.114,100.024,4
0.478,6,0,0.0753,0.447,92.994,4
0.583,5,0,0.0282,0.103,131.981,4
0.723,0,0,0.219,0.103,71.336,4
0.761,8,0,0.0499,0.0544,122.98,4
0.802,10,0,0.189,0.319,106.019,4
0.61,5,0,0.0333,0.114,144.999,4
0.68,11,0,0.0353,0.109,94.02,4
0.352,7,1,0.0725,0.193,166.795,4
0.524,11,0,0.047,0.154,150.123,4
0.371,1,1,0.144,0.516,196.058,4
0.628,10,1,0.0319,0.126,63.476,4
0.475,11,1,0.351,0.241,98.001,4
0.62,2,0,0.0591,0.156,113.492,4
0.352,4,0,0.0378,0.0943,137.216,4
0.417,5,1,0.0328,0.217,119.903,4
0.356,4,1,0.104,0.209,125.921,4
0.676,5,1,0.0512,0.608,103.782,4
0.562,5,1,0.0254,0.102,90.004,4
0.609,5,0,0.0814,0.306,80.967,4
0.646,9,1,0.0976,0.267,89.99,4
0.736,3,0,0.0615,0.0501,149.995,4
0.64,6,1,0.0428,0.187,124.968,4
0.328,6,1,0.0362,0.0818,106.606,4
0.279,8,1,0.0406,0.104,136.732,3
0.612,11,0,0.0347,0.0963,77.004,4
0.559,10,0,0.146,0.118,165.585,5
0.694,4,0,0.0736,0.0884,128.246,4
0.908,8,0,0.107,0.0709,90.032,4
0.691,6,1,0.0256,0.0783,135.839,4
0.661,7,1,0.0481,0.105,109.995,4
0.354,4,0,0.0399,0.124,82.627,4
0.644,4,1,0.0275,0.112,117.043,4
0.64,10,1,0.0379,0.101,122.035,4
0.412,11,0,0.18,0.0485,101.955,3
0.556,4,1,0.038,0.384,144.368,4
0.529,7,1,0.029,0.251,136.859,4
0.664,2,0,0.0297,0.254,87.008,4
0.529,10,0,0.0471,0.264,160.936,3
0.654,6,0,0.0843,0.11,124.011,4
0.59,10,1,0.0316,0.115,90.084,4
0.885,10,0,0.12,0.268,76.006,4
0.636,3,1,0.0368,0.188,141.965,4
0.758,6,0,0.113,0.193,128.04,4
0.54,1,0,0.162,0.683,136.896,4
0.718,0,0,0.0382,0.104,121.992,4
0.247,5,1,0.0363,0.108,108.252,4
0.225,1,0,0.0509,0.0722,163.665,4
0.515,11,1,0.167,0.117,111.985,4
0.558,6,0,0.0376,0.267,171.238,4
0.659,2,0,0.0348,0.0771,119.829,3
0.733,9,0,0.0427,0.105,116.992,4
0.478,2,1,0.0779,0.13,125.781,4
0.616,11,1,0.0375,0.111,111.959,4
0.526,7,1,0.218,0.048,178.229,4
0.621,7,1,0.0343,0.075,127.74,4
0.168,9,1,0.0443,0.176,78.461,4
0.465,4,1,0.0408,0.262,135.997,4
0.419,0,1,0.402,0.527,132.638,4
0.539,3,1,0.0329,0.105,81.446,4
0.479,4,0,0.0444,0.0843,130.035,4
0.411,9,1,0.0307,0.0776,84.97,4
0.497,6,1,0.0436,0.111,130.769,3
0.678,8,1,0.0487,0.0837,127.993,4
0.562,5,1,0.025,0.115,79.963,4
0.56,11,1,0.0379,0.161,94.931,4
0.45,10,1,0.0374,0.0948,63.938,4
0.655,0,1,0.0866,0.119,121.999,4
0.436,11,0,0.0289,0.0902,79.975,4
0.227,11,1,0.0432,0.103,84.99,4
0.652,0,1,0.0887,0.604,94.1,4
0.559,7,1,0.0474,0.171,78.957,4
0.724,7,1,0.0483,0.111,109.996,4
0.413,8,1,0.0536,0.204,116.68,3
0.563,7,1,0.0262,0.0863,108.008,4
0.41,4,0,0.0348,0.12,141.565,4
0.531,9,0,0.0429,0.0283,136.991,4
0.295,1,1,0.0702,0.0986,104.135,4
0.663,10,0,0.0275,0.109,103.779,4
0.52,2,1,0.0906,0.197,158.937,4
0.707,7,1,0.031,0.204,127.937,4
0.856,0,1,0.0824,0.0344,114.988,4
0.606,4,1,0.0319,0.112,80.071,4
0.424,7,1,0.0374,0.0802,111.216,4
0.304,7,1,0.482,0.462,177.989,4
0.339,2,1,0.0394,0.252,123.048,3
0.592,8,1,0.0298,0.107,114.72,3
0.635,0,1,0.151,0.0928,100.048,4
0.494,10,1,0.0426,0.136,98.224,4
0.641,4,1,0.0263,0.728,100.098,4
0.394,3,1,0.0346,0.112,135.188,4
0.312,8,1,0.0622,0.711,121.285,4
0.384,10,1,0.0315,0.112,80.185,1
0.451,0,1,0.107,0.102,122.444,4
0.498,0,1,0.134,0.264,175.295,4
0.596,9,1,0.0474,0.0866,116.0,4
0.312,5,1,0.0407,0.11,100.778,4
0.542,9,1,0.0392,0.129,139.988,4
0.692,1,1,0.11,0.0787,73.987,4
0.239,11,0,0.27,0.452,93.565,4
0.862,0,1,0.0653,0.089,133.012,4
0.567,6,0,0.0442,0.106,137.956,4
0.579,5,0,0.135,0.73,137.015,4
0.266,2,1,0.0522,0.0918,140.499,4
0.25,5,0,0.04,0.102,205.921,4
0.44,5,0,0.161,0.235,149.116,4
0.493,2,1,0.177,0.0903,168.348,1
0.694,0,1,0.036,0.148,104.986,4
0.289,2,1,0.0574,0.279,155.02,4
0.674,8,0,0.0334,0.103,124.952,4
0.666,11,0,0.0925,0.222,139.991,4
0.793,5,1,0.0555,0.11,125.993,4
0.619,11,1,0.0328,0.167,76.037,4
0.207,4,0,0.185,0.318,180.683,4
0.407,4,1,0.0576,0.311,120.28,4
0.51,0,1,0.0307,0.0787,110.962,4
0.707,7,1,0.0323,0.169,139.985,4
0.286,0,1,0.042,0.146,79.303,4
0.494,11,1,0.0265,0.109,133.879,4
0.266,0,1,0.0363,0.132,181.74,3
0.654,5,0,0.048,0.16,102.008,4
0.414,2,1,0.0758,0.369,170.229,4
0.44,7,1,0.03,0.1,74.893,3
0.167,7,1,0.0539,0.133,186.142,4
0.548,5,1,0.0323,0.217,85.03,4
