danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,audio_features,3TwtrR1yNLY1PMPsrGQpOp,spotify:track:3TwtrR1yNLY1PMPsrGQpOp,https://api.spotify.com/v1/tracks/3TwtrR1yNLY1PMPsrGQpOp,https://api.spotify.com/v1/audio-analysis/3TwtrR1yNLY1PMPsrGQpOp,221693,4,2000,acoustic
0.47,0.678,4,-8.018,1,0.0587,0.259,0,0.204,0.24,84.843,audio_features,57PHqrPsX6E7OX9LeKSo9Q,spotify:track:57PHqrPsX6E7OX9LeKSo9Q,https://api.spotify.com/v1/tracks/57PHqrPsX6E7OX9LeKSo9Q,https://api.spotify.com/v1/audio-analysis/57PHqrPsX6E7OX9LeKSo9Q,246600,4,2000,acoustic
0.557,0.29,11,-9.184,0,0.0386,0.849,0,0.7,0.358,89.117,audio_features,6KmJfZCd5f4P11vuglbIrN,spotify:track:6KmJfZCd5f4P11vuglbIrN,https://api.spotify.com/v1/tracks/6KmJfZCd5f4P11vuglbIrN,https://api.spotify.com/v1/audio-analysis/6KmJfZCd5f4P11vuglbIrN,284082,4,2000,acoustic
0.665,0.38,4,-10.252,1,0.0325,0.0653,8.15e-05,0.103,0.286,165.713,audio_features,78Tw2T8YcTRTRX1CSqjKKO,spotify:track:78Tw2T8YcTRTRX1CSqjKKO,https://api.spotify.com/v1/tracks/78Tw2T8YcTRTRX1CSqjKKO,https://api.spotify.com/v1/audio-analysis/78Tw2T8YcTRTRX1CSqjKKO,332027,1,2000,acoustic
0.716,0.774,9,-7.471,1,0.0361,0.389,0.123,0.219,0.784,110.359,audio_features,54KR62xO0Z7OF77FpcjGGo,spotify:track:54KR62xO0Z7OF77FpcjGGo,https://api.spotify.com/v1/tracks/54KR62xO0Z7OF77FpcjGGo,https://api.spotify.com/v1/audio-analysis/54KR62xO0Z7OF77FpcjGGo,246600,4,2000,acoustic
0.529,0.471,0,-7.586,1,0.0267,0.0589,0,0.0567,0.17,107.464,audio_features,1GVj2x3lXqvK4TaYF41rxc,spotify:track:1GVj2x3lXqvK4TaYF41rxc,https://api.spotify.com/v1/tracks/1GVj2x3lXqvK4TaYF41rxc,https://api.spotify.com/v1/audio-analysis/1GVj2x3lXqvK4TaYF41rxc,220773,4,2000,acoustic
0.477,0.235,0,-16.145,1,0.0325,0.898,0.897,0.116,0.437,91.159,audio_features,0vIf80QzERDninM4AgRnrA,spotify:track:0vIf80QzERDninM4AgRnrA,https://api.spotify.com/v1/tracks/0vIf80QzERDninM4AgRnrA,https://api.spotify.com/v1/audio-analysis/0vIf80QzERDninM4AgRnrA,228347,4,2000,acoustic
0.445,0.471,6,-8.831,1,0.0322,0.883,0.0695,0.697,0.128,146.957,audio_features,16N2lpCidTNYdNq2YZhE98,spotify:track:16N2lpCidTNYdNq2YZhE98,https://api.spotify.com/v1/tracks/16N2lpCidTNYdNq2YZhE98,https://api.spotify.com/v1/audio-analysis/16N2lpCidTNYdNq2YZhE98,290090,4,2000,acoustic
0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,audio_features,3XdnNX0cPynrR7KdRoyjwa,spotify:track:3XdnNX0cPynrR7KdRoyjwa,https://api.spotify.com/v1/tracks/3XdnNX0cPynrR7KdRoyjwa,https://api.spotify.com/v1/audio-analysis/3XdnNX0cPynrR7KdRoyjwa,181893,3,2000,acoustic
0.689,0.791,11,-7.0,0,0.0495,0.548,6.08e-06,0.285,0.811,102.519,audio_features,0QpxUzXEI3ZjJeo6dDFgV7,spotify:track:0QpxUzXEI3ZjJeo6dDFgV7,https://api.spotify.com/v1/tracks/0QpxUzXEI3ZjJeo6dDFgV7,https://api.spotify.com/v1/audio-analysis/0QpxUzXEI3ZjJeo6dDFgV7,244693,4,2000,acoustic
