danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,genre
0.639,0.666,0,-7.775,1,0.0636,0.271,0,0.111,0.372,98.384,audio_features,0HL3y3bsKSARBSP0qaImwb,spotify:track:0HL3y3bsKSARBSP0qaImwb,https://api.spotify.com/v1/tracks/0HL3y3bsKSARBSP0qaImwb,https://api.spotify.com/v1/audio-analysis/0HL3y3bsKSARBSP0qaImwb,213733,4,2020,acoustic
0.62,0.547,1,-6.772,1,0.0248,0.112,0,0.19,0.208,98.032,audio_features,1dcNEEtODRVZEevQ20Cgmy,spotify:track:1dcNEEtODRVZEevQ20Cgmy,https://api.spotify.com/v1/tracks/1dcNEEtODRVZEevQ20Cgmy,https://api.spotify.com/v1/audio-analysis/1dcNEEtODRVZEevQ20Cgmy,210355,4,2020,acoustic
0.507,0.399,9,-10.917,0,0.0358,0.871,0.000377,0.113,0.225,115.588,audio_features,3D1PuFi2U8lmtdWRZcCz1f,spotify:track:3D1PuFi2U8lmtdWRZcCz1f,https://api.spotify.com/v1/tracks/3D1PuFi2U8lmtdWRZcCz1f,https://api.spotify.com/v1/audio-analysis/3D1PuFi2U8lmtdWRZcCz1f,157600,4,2020,acoustic
0.659,0.236,9,-12.56,1,0.0304,0.84,6.32e-05,0.206,0.216,78.088,audio_features,3YllcvA3PW1DUwjckCVjIw,spotify:track:3YllcvA3PW1DUwjckCVjIw,https://api.spotify.com/v1/tracks/3YllcvA3PW1DUwjckCVjIw,https://api.spotify.com/v1/audio-analysis/3YllcvA3PW1DUwjckCVjIw,251933,4,2020,acoustic
0.655,0.587,1,-8.736,1,0.045,0.26,6.07e-06,0.0953,0.521,91.494,audio_features,0roPf0bwAsBDZv1bR15m15,spotify:track:0roPf0bwAsBDZv1bR15m15,https://api.spotify.com/v1/tracks/0roPf0bwAsBDZv1bR15m15,https://api.spotify.com/v1/audio-analysis/0roPf0bwAsBDZv1bR15m15,219067,4,2020,acoustic
0.496,0.117,0,-12.884,1,0.0301,0.933,0,0.126,0.318,78.068,audio_features,4zcMBfbQZvBSHQBGDd6gsN,spotify:track:4zcMBfbQZvBSHQBGDd6gsN,https://api.spotify.com/v1/tracks/4zcMBfbQZvBSHQBGDd6gsN,https://api.spotify.com/v1/audio-analysis/4zcMBfbQZvBSHQBGDd6gsN,214360,4,2020,acoustic
0.587,0.502,2,-9.709,1,0.0383,0.289,0.00148,0.107,0.279,83.021,audio_features,2ak7xmwbLAADnngfYpLKuD,spotify:track:2ak7xmwbLAADnngfYpLKuD,https://api.spotify.com/v1/tracks/2ak7xmwbLAADnngfYpLKuD,https://api.spotify.com/v1/audio-analysis/2ak7xmwbLAADnngfYpLKuD,227816,4,2020,acoustic
0.298,0.044,5,-20.176,1,0.035,0.983,0.124,0.101,0.115,85.708,audio_features,3V0NxWbbUTa3BUAnchm11i,spotify:track:3V0NxWbbUTa3BUAnchm11i,https://api.spotify.com/v1/tracks/3V0NxWbbUTa3BUAnchm11i,https://api.spotify.com/v1/audio-analysis/3V0NxWbbUTa3BUAnchm11i,256362,4,2020,acoustic
0.674,0.355,8,-11.398,1,0.0496,0.78,0.000571,0.109,0.24,75.07,audio_features,2I0t9apRfrVbkxr8Fym2yf,spotify:track:2I0t9apRfrVbkxr8Fym2yf,https://api.spotify.com/v1/tracks/2I0t9apRfrVbkxr8Fym2yf,https://api.spotify.com/v1/audio-analysis/2I0t9apRfrVbkxr8Fym2yf,192160,4,2020,acoustic
0.71,0.615,0,-8.23,1,0.133,0.0384,0,0.283,0.746,90.263,audio_features,4XI5GjQ6zcJXsDnuyOGGEa,spotify:track:4XI5GjQ6zcJXsDnuyOGGEa,https://api.spotify.com/v1/tracks/4XI5GjQ6zcJXsDnuyOGGEa,https://api.spotify.com/v1/audio-analysis/4XI5GjQ6zcJXsDnuyOGGEa,239698,4,2020,acoustic
0.675,0.65,6,-10.415,1,0.0273,0.193,0.0257,0.375,0.193,120.015,audio_features,0CICivRwFKqLs5oiBLYicx,spotify:track:0CICivRwFKqLs5oiBLYicx,https://api.spotify.com/v1/tracks/0CICivRwFKqLs5oiBLYicx,https://api.spotify.com/v1/audio-analysis/0CICivRwFKqLs5oiBLYicx,333448,4,2020,acoustic
0.644,0.467,7,-9.398,1,0.0385,0.502,1.6e-05,0.231,0.69,79.022,audio_features,4rKNAryOSqMpb0qoum5UoN,spotify:track:4rKNAryOSqMpb0qoum5UoN,https://api.spotify.com/v1/tracks/4rKNAryOSqMpb0qoum5UoN,https://api.spotify.com/v1/audio-analysis/4rKNAryOSqMpb0qoum5UoN,268007,4,2020,acoustic
0.429,0.278,7,-14.927,1,0.0299,0.845,0.374,0.127,0.377,154.086,audio_features,0lltDjxNE19ciwRInP4qPX,spotify:track:0lltDjxNE19ciwRInP4qPX,https://api.spotify.com/v1/tracks/0lltDjxNE19ciwRInP4qPX,https://api.spotify.com/v1/audio-analysis/0lltDjxNE19ciwRInP4qPX,185250,4,2020,acoustic
0.717,0.706,2,-8.612,1,0.0278,0.116,1.51e-05,0.184,0.967,130.543,audio_features,1M1xjg2N1i5EKosEPtx2T7,spotify:track:1M1xjg2N1i5EKosEPtx2T7,https://api.spotify.com/v1/tracks/1M1xjg2N1i5EKosEPtx2T7,https://api.spotify.com/v1/audio-analysis/1M1xjg2N1i5EKosEPtx2T7,214653,4,2020,acoustic
0.572,0.317,0,-9.108,1,0.0241,0.705,0.00385,0.528,0.38,78.009,audio_features,5fTJGZ6k0zokfh5KLfe0sm,spotify:track:5fTJGZ6k0zokfh5KLfe0sm,https://api.spotify.com/v1/tracks/5fTJGZ6k0zokfh5KLfe0sm,https://api.spotify.com/v1/audio-analysis/5fTJGZ6k0zokfh5KLfe0sm,238733,4,2020,acoustic
0.409,0.302,6,-8.542,1,0.0456,0.712,0,0.615,0.444,108.412,audio_features,32dEA5dmTh30MvgWXXeEJC,spotify:track:32dEA5dmTh30MvgWXXeEJC,https://api.spotify.com/v1/tracks/32dEA5dmTh30MvgWXXeEJC,https://api.spotify.com/v1/audio-analysis/32dEA5dmTh30MvgWXXeEJC,86929,5,2020,acoustic
0.402,0.197,5,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,100.044,audio_features,4qTHoIp62ngNDpUJwW3hZ7,spotify:track:4qTHoIp62ngNDpUJwW3hZ7,https://api.spotify.com/v1/tracks/4qTHoIp62ngNDpUJwW3hZ7,https://api.spotify.com/v1/audio-analysis/4qTHoIp62ngNDpUJwW3hZ7,131000,3,2020,acoustic
0.502,0.309,5,-12.12,1,0.0308,0.575,0.000894,0.0953,0.273,119.236,audio_features,4WzQEkUYTBzo0DRnJfYPls,spotify:track:4WzQEkUYTBzo0DRnJfYPls,https://api.spotify.com/v1/tracks/4WzQEkUYTBzo0DRnJfYPls,https://api.spotify.com/v1/audio-analysis/4WzQEkUYTBzo0DRnJfYPls,361013,4,2020,acoustic
