danceability,key,mode,speechiness,liveness,tempo,time_signature,genre
0.507,5,1,0.0291,0.17,134.647,4,acoustic
0.496,11,1,0.0336,0.109,144.092,3,acoustic
0.76,0,1,0.0352,0.233,107.602,4,acoustic
0.607,1,1,0.0595,0.111,111.031,4,acoustic
0.497,3,1,0.0704,0.133,206.431,4,acoustic
0.522,9,1,0.172,0.41,115.658,4,acoustic
0.353,11,1,0.0883,0.844,174.537,3,acoustic
0.603,10,1,0.035,0.233,129.759,4,acoustic
0.744,5,0,0.0845,0.0715,173.871,3,acoustic
0.375,1,1,0.0604,0.616,177.751,3,acoustic
0.499,7,1,0.0495,0.129,167.075,4,acoustic
0.357,1,1,0.0745,0.337,179.861,3,acoustic
0.58,6,1,0.0262,0.106,101.986,4,acoustic
0.611,2,1,0.0424,0.084,141.081,4,acoustic
0.485,1,1,0.0385,0.0942,87.835,4,acoustic
0.49,0,1,0.0343,0.119,139.257,4,acoustic
0.66,9,1,0.0367,0.0621,110.016,4,acoustic
0.542,4,0,0.0425,0.102,112.522,3,acoustic
0.324,4,1,0.0331,0.113,97.826,4,acoustic
0.563,0,1,0.0383,0.102,107.429,4,acoustic
0.474,1,1,0.119,0.593,173.302,4,acoustic
0.467,3,1,0.0538,0.11,119.849,3,acoustic
0.52,10,0,0.0281,0.111,94.003,3,acoustic
0.622,7,1,0.0309,0.123,111.638,4,acoustic
0.481,7,1,0.0252,0.107,83.966,4,acoustic
0.658,0,1,0.0554,0.133,108.774,4,acoustic
0.445,0,1,0.0272,0.101,106.283,3,acoustic
0.517,0,1,0.0426,0.115,108.504,4,acoustic
0.649,5,0,0.028,0.115,110.45,4,acoustic
0.599,9,1,0.0816,0.082,83.112,4,acoustic
0.62,7,0,0.031,0.108,97.556,4,acoustic
0.608,10,0,0.0799,0.559,124.423,4,acoustic
0.542,9,1,0.0342,0.244,113.808,3,acoustic
0.431,7,0,0.0261,0.102,89.414,4,acoustic
0.426,11,1,0.0287,0.104,91.525,3,acoustic
0.436,5,1,0.0429,0.111,151.118,3,acoustic
0.397,0,1,0.0294,0.0735,109.296,3,acoustic
0.116,10,1,0.0739,0.212,61.997,4,acoustic
0.434,8,1,0.036,0.0855,176.398,3,acoustic
0.631,6,1,0.867,0.902,64.713,3,acoustic
0.635,2,1,0.0437,0.323,79.749,4,acoustic
0.617,4,1,0.0514,0.0378,112.167,4,acoustic
0.57,5,0,0.0744,0.106,146.886,3,acoustic
0.498,9,1,0.0293,0.0683,103.961,4,acoustic
0.61,0,0,0.0298,0.0951,89.264,4,acoustic
0.546,1,1,0.463,0.221,78.046,4,acoustic
0.486,4,1,0.0343,0.366,141.04,3,acoustic
0.33,11,1,0.0358,0.237,102.166,4,acoustic
0.505,2,1,0.0357,0.0569,160.061,4,acoustic
0.689,9,1,0.787,0.699,84.627,1,acoustic
0.855,2,1,0.0514,0.36,121.472,4,blues
0.609,9,1,0.0338,0.295,115.996,4,blues
0.777,2,1,0.126,0.0348,97.911,4,blues
0.609,9,1,0.0338,0.295,115.996,4,blues
0.721,9,1,0.0246,0.113,96.887,4,blues
0.777,2,1,0.126,0.0348,97.911,4,blues
0.339,7,1,0.0338,0.165,101.449,4,blues
0.619,0,1,0.102,0.327,158.866,3,blues
0.498,9,1,0.0257,0.133,153.744,4,blues
0.536,0,1,0.0278,0.0595,126.909,4,blues
0.76,0,1,0.0352,0.233,107.602,4,blues
0.699,10,1,0.0519,0.173,126.56,4,blues
0.606,7,1,0.0369,0.133,143.681,4,blues
0.51,2,0,0.0384,0.644,94.04,4,blues
0.719,1,1,0.0497,0.0487,154.913,4,blues
0.56,10,1,0.0422,0.108,168.196,4,blues
0.405,7,1,0.0254,0.29,92.815,4,blues
0.852,0,1,0.0819,0.0881,108.019,4,blues
0.585,5,0,0.0393,0.215,118.861,4,blues
0.397,7,0,0.0456,0.27,93.148,4,blues
0.458,2,0,0.0796,0.0995,68.526,3,blues
0.668,8,1,0.108,0.0648,71.214,4,blues
0.624,2,1,0.0318,0.0632,139.912,4,blues
0.625,1,1,0.046,0.122,125.348,4,blues
0.498,11,0,0.116,0.441,87.806,4,blues
0.321,4,1,0.125,0.11,92.604,4,blues
0.598,8,1,0.191,0.0431,102.254,4,blues
0.353,11,1,0.0883,0.844,174.537,3,blues
0.497,3,1,0.0704,0.133,206.431,4,blues
0.522,9,1,0.172,0.41,115.658,4,blues
0.568,7,1,0.0487,0.18,125.471,4,blues
0.462,0,1,0.107,0.776,127.82,4,blues
0.462,1,0,0.0482,0.137,127.453,4,blues
0.603,10,1,0.035,0.233,129.759,4,blues
0.4,0,1,0.0765,0.199,61.456,4,blues
0.724,0,1,0.0294,0.336,115.891,4,blues
0.375,1,1,0.0604,0.616,177.751,3,blues
0.418,10,1,0.0462,0.759,122.781,4,blues
0.424,9,0,0.0378,0.158,114.303,4,blues
0.339,11,1,0.35,0.101,151.889,4,blues
0.606,7,1,0.0369,0.133,143.681,4,blues
0.738,11,0,0.0468,0.0936,97.029,4,blues
0.489,6,1,0.0375,0.148,106.949,4,blues
0.35,4,0,0.268,0.0753,187.836,4,blues
0.548,6,0,0.0302,0.182,69.591,4,blues
0.706,9,0,0.0248,0.0925,103.986,4,blues
0.556,9,0,0.0504,0.228,99.287,4,blues
0.804,7,1,0.0413,0.177,109.624,4,blues
0.537,11,0,0.0917,0.381,135.867,4,blues
0.744,5,0,0.0845,0.0715,173.871,3,blues
0.0847,2,0,0.0405,0.289,84.245,4,classical
0.15,2,1,0.0425,0.0836,101.769,3,classical
0.143,0,1,0.045,0.0694,139.288,3,classical
0.235,11,0,0.049,0.466,120.736,3,classical
0.135,5,1,0.0483,0.134,63.831,4,classical
0.331,9,1,0.0325,0.121,97.836,4,classical
0.349,6,0,0.038,0.228,107.272,3,classical
0.176,5,1,0.0384,0.105,71.477,3,classical
0.184,2,0,0.0413,0.222,119.375,3,classical
0.227,11,1,0.0432,0.103,84.99,4,classical
0.364,6,1,0.0453,0.121,84.899,1,classical
0.351,0,0,0.0388,0.115,66.921,4,classical
0.351,1,1,0.0597,0.0738,130.415,4,classical
0.476,11,0,0.164,0.104,68.311,4,classical
0.19,1,0,0.0422,0.16,66.109,4,classical
0.466,5,1,0.062,0.0889,159.519,4,classical
0.388,9,0,0.054,0.0861,114.314,4,classical
0.221,4,1,0.0384,0.0837,138.205,4,classical
0.2,7,0,0.0364,0.362,95.47,4,classical
0.223,4,1,0.0401,0.131,61.585,4,classical
0.387,7,1,0.0387,0.171,140.816,4,classical
0.216,8,1,0.0477,0.0844,132.059,4,classical
0.323,8,1,0.0425,0.0852,150.979,4,classical
0.338,2,1,0.0709,0.515,122.311,4,classical
0.335,9,1,0.0469,0.0986,136.386,4,classical
0.199,2,1,0.047,0.111,119.842,5,classical
0.223,11,1,0.0362,0.0759,64.528,5,classical
0.46,7,0,0.0311,0.48,72.376,4,classical
0.285,10,1,0.0358,0.0805,73.484,4,classical
0.488,4,1,0.0499,0.118,105.237,3,classical
0.29,4,0,0.108,0.545,120.488,4,classical
0.414,9,1,0.0897,0.314,145.014,4,classical
0.321,2,1,0.0364,0.11,127.284,3,classical
0.55,1,1,0.0265,0.187,103.961,4,classical
0.159,11,1,0.038,0.0932,79.811,3,classical
0.291,4,0,0.0462,0.0581,69.143,5,classical
0.111,2,1,0.0457,0.114,72.455,5,classical
0.461,9,1,0.0651,0.251,111.093,4,classical
0.358,9,1,0.0361,0.134,83.07,4,classical
0.161,7,1,0.0432,0.203,136.038,1,classical
0.289,9,0,0.0341,0.314,140.466,3,classical
0.376,2,0,0.0364,0.0932,96.537,4,classical
0.434,8,1,0.0409,0.12,133.939,1,classical
0.214,7,1,0.0404,0.0672,82.601,4,classical
0.239,0,1,0.0332,0.113,84.886,4,classical
0.283,5,1,0.0402,0.331,80.313,4,classical
0.319,9,1,0.0788,0.154,111.083,4,classical
0.476,11,1,0.122,0.161,139.986,4,classical
0.533,0,1,0.0383,0.0772,99.574,4,classical
0.671,2,1,0.0663,0.105,108.04,4,classical
0.467,6,1,0.031,0.0982,164.418,4,country
0.507,5,1,0.0472,0.0567,171.8,4,country
0.729,3,1,0.0264,0.295,123.867,4,country
0.561,1,1,0.0324,0.124,139.803,4,country
0.522,1,1,0.0297,0.0964,82.85,4,country
0.689,10,0,0.0382,0.278,122.07,4,country
0.705,0,1,0.0295,0.0755,122.841,4,country
0.648,0,1,0.0311,0.0908,109.609,4,country
0.529,7,1,0.029,0.251,136.859,4,country
0.68,0,1,0.0247,0.378,93.865,4,country
0.723,7,1,0.0297,0.279,124.9,4,country
0.547,0,1,0.0429,0.091,153.974,4,country
0.644,7,1,0.0305,0.27,98.746,4,country
0.444,9,1,0.0289,0.135,147.715,4,country
0.627,2,1,0.0352,0.0344,101.99,4,country
0.592,9,1,0.027,0.12,146.039,4,country
0.534,2,1,0.0279,0.148,114.957,4,country
0.595,2,1,0.0292,0.153,137.744,4,country
0.605,5,1,0.0363,0.345,98.866,4,country
0.672,7,1,0.0443,0.177,111.927,4,country
0.743,10,0,0.0507,0.142,125.005,5,country
0.476,2,1,0.0275,0.0805,138.085,4,country
0.655,7,1,0.0355,0.111,115.938,4,country
0.511,2,1,0.0531,0.0777,93.848,4,country
0.713,2,1,0.0292,0.237,124.026,4,country
0.663,4,1,0.0335,0.0915,125.878,4,country
0.553,9,1,0.0292,0.0892,88.788,4,country
0.544,5,1,0.0522,0.13,123.766,4,country
0.471,8,1,0.038,0.229,182.323,4,country
0.56,1,1,0.0302,0.0638,83.588,4,country
0.707,4,1,0.0429,0.145,102.417,4,country
0.339,7,1,0.0338,0.165,101.449,4,country
0.504,0,1,0.137,0.952,130.954,4,country
0.362,0,1,0.0274,0.111,147.063,4,country
0.664,3,1,0.0346,0.104,87.076,4,country
0.496,10,1,0.0333,0.134,122.094,4,country
0.626,2,1,0.0253,0.134,91.812,4,country
0.533,2,1,0.0308,0.0939,140.918,4,country
0.465,1,1,0.0277,0.106,75.88,4,country
0.543,6,1,0.0298,0.0512,178.075,4,country
0.598,10,1,0.0354,0.219,144.059,4,country
0.508,9,1,0.0284,0.241,72.903,4,country
0.536,0,1,0.0278,0.0595,126.909,4,country
0.679,7,1,0.0267,0.12,99.035,4,country
0.692,11,0,0.0308,0.134,123.658,4,country
0.675,2,1,0.0354,0.123,112.53,4,country
0.645,0,1,0.0372,0.125,97.514,4,country
0.635,3,1,0.0298,0.11,97.998,4,country
0.626,4,1,0.0694,0.0383,170.229,4,country
0.76,0,1,0.0352,0.233,107.602,4,country
0.743,8,0,0.0953,0.0685,92.909,4,dance
0.689,6,0,0.027,0.148,99.039,4,dance
0.713,5,0,0.102,0.149,138.009,4,dance
0.759,0,0,0.0307,0.443,92.96,4,dance
0.845,11,0,0.153,0.0764,127.641,4,dance
0.749,8,0,0.086,0.115,142.024,4,dance
0.771,1,1,0.0567,0.0537,88.997,4,dance
0.633,1,1,0.166,0.137,175.716,4,dance
0.603,4,0,0.0668,0.0986,160.488,4,dance
0.733,6,0,0.0366,0.468,96.085,4,dance
0.822,7,0,0.0582,0.39,128.007,4,dance
0.425,1,0,0.0476,0.0555,178.043,4,dance
0.661,11,1,0.03,0.131,129.752,4,dance
0.529,7,1,0.029,0.251,136.859,4,dance
0.82,5,0,0.0549,0.35,130.992,4,dance
0.829,8,1,0.106,0.246,118.903,4,dance
0.661,0,0,0.037,0.617,108.037,4,dance
0.6,9,0,0.0704,0.104,160.502,4,dance
0.524,1,1,0.37,0.349,200.031,4,dance
0.61,9,1,0.0279,0.0884,85.031,4,dance
0.754,0,1,0.112,0.345,142.137,4,dance
0.748,0,0,0.0341,0.32,104.001,4,dance
0.7,9,0,0.133,0.0718,128.043,4,dance
0.745,10,1,0.0259,0.102,95.996,4,dance
0.63,6,0,0.0252,0.0765,167.998,4,dance
0.627,2,1,0.0352,0.0344,101.99,4,dance
0.68,11,0,0.0353,0.109,94.02,4,dance
0.634,9,1,0.0434,0.118,93.04,4,dance
0.695,10,0,0.0418,0.103,125.013,4,dance
0.648,7,1,0.0428,0.109,88.684,4,dance
0.679,4,1,0.0463,0.372,108.114,4,dance
0.715,9,1,0.0576,0.233,106.001,4,dance
0.627,9,0,0.0388,0.136,99.905,4,dance
0.743,10,0,0.0507,0.142,125.005,5,dance
0.813,7,1,0.0881,0.154,100.491,4,dance
0.437,4,1,0.0274,0.0996,150.14,4,dance
0.754,10,0,0.0429,0.0619,95.998,4,dance
0.882,1,0,0.223,0.0369,97.932,4,dance
0.69,1,0,0.0329,0.0347,121.984,4,dance
0.599,1,1,0.0376,0.111,127.177,4,dance
0.696,3,1,0.0343,0.117,134.28,4,dance
0.716,7,0,0.0282,0.11,126.921,4,dance
0.639,10,0,0.0311,0.324,138.022,4,dance
0.583,0,1,0.0459,0.177,80.004,4,dance
0.59,4,0,0.0244,0.136,104.042,4,dance
0.663,5,0,0.0348,0.164,110.031,4,dance
0.638,6,0,0.0425,0.414,101.999,4,dance
0.494,9,1,0.0311,0.219,119.971,4,dance
0.348,10,1,0.0331,0.106,129.297,4,dance
0.702,9,0,0.0344,0.23,129.999,4,dance
0.866,11,1,0.229,0.0929,98.243,4,jazz
0.749,1,0,0.231,0.134,87.587,4,jazz
0.648,0,1,0.0602,0.1,65.795,4,jazz
0.615,5,0,0.0465,0.135,124.558,4,jazz
0.742,5,0,0.0407,0.122,127.359,4,jazz
0.625,10,1,0.0859,0.125,90.226,4,jazz
0.781,1,1,0.0719,0.229,89.994,4,jazz
0.578,9,0,0.0296,0.0834,125.67,4,jazz
0.538,0,0,0.0286,0.133,92.405,4,jazz
0.719,1,1,0.0497,0.0487,154.913,4,jazz
0.684,2,1,0.0365,0.152,172.089,4,jazz
0.425,3,1,0.0305,0.127,109.952,4,jazz
0.699,6,1,0.0344,0.0654,92.971,4,jazz
0.76,7,1,0.0482,0.519,123.324,4,jazz
0.659,5,0,0.033,0.311,97.425,4,jazz
0.618,5,1,0.0423,0.21,92.843,4,jazz
0.458,2,0,0.0796,0.0995,68.526,3,jazz
0.522,6,1,0.0444,0.126,105.36,4,jazz
0.69,5,0,0.0336,0.143,95.341,4,jazz
0.817,6,1,0.113,0.144,107.094,4,jazz
0.473,8,1,0.0353,0.0957,152.484,4,jazz
0.417,5,1,0.0558,0.185,201.162,4,jazz
0.589,7,0,0.0338,0.282,91.987,4,jazz
0.691,11,0,0.0294,0.0471,107.301,4,jazz
0.653,10,0,0.0439,0.0972,117.161,4,jazz
0.499,10,1,0.0449,0.131,110.274,4,jazz
0.388,0,1,0.0483,0.221,144.561,4,jazz
0.635,2,0,0.0406,0.213,103.016,4,jazz
0.734,5,0,0.0759,0.109,150.086,4,jazz
0.495,2,0,0.0284,0.0799,90.854,4,jazz
0.596,10,0,0.0343,0.184,127.956,4,jazz
0.598,8,1,0.191,0.0431,102.254,4,jazz
0.698,6,1,0.0502,0.0314,88.189,4,jazz
0.635,5,0,0.0328,0.0291,76.032,4,jazz
0.644,4,0,0.0293,0.349,92.01,4,jazz
0.779,9,0,0.0448,0.124,96.795,4,jazz
0.556,5,1,0.0986,0.304,102.918,4,jazz
0.556,8,1,0.0311,0.247,94.635,4,jazz
0.69,0,1,0.0312,0.288,110.038,4,jazz
0.666,7,1,0.0705,0.0711,95.658,4,jazz
0.513,0,0,0.0446,0.111,116.625,3,jazz
0.492,0,1,0.1,0.12,91.633,4,jazz
0.578,0,0,0.028,0.0511,92.988,4,jazz
0.922,4,0,0.0868,0.0941,101.996,4,jazz
0.617,2,1,0.0275,0.0945,92.007,4,jazz
