danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.736,0.458,-7.437,1,0.0316,0.441,0.0,0.148,0.65,98.977,4,country,3
0.539,0.702,-7.291,1,0.0436,0.00245,2.37e-05,0.117,0.206,118.106,4,rock,4
0.834,0.685,-5.862,0,0.225,0.0998,0.0,0.0514,0.877,95.507,4,dance,4
0.468,0.715,-3.101,0,0.0558,0.00202,0.733,0.087,0.6,141.01,4,blues,4
0.253,0.00429,-36.172,0,0.0523,0.99,0.912,0.103,0.0368,74.497,3,classical,1
0.739,0.511,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,4,pop,3
0.634,0.207,-22.772,0,0.0354,0.434,0.881,0.105,0.174,117.981,4,techno,2
0.752,0.488,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,dance,3
0.548,0.775,-3.285,1,0.0306,0.0936,0.0,0.0721,0.311,94.998,4,country,4
0.704,0.498,-16.267,1,0.0441,0.424,0.88,0.198,0.961,122.83,4,techno,3
0.242,0.0178,-31.284,0,0.0483,0.989,0.91,0.0771,0.18,72.645,3,classical,1
0.821,0.418,-9.841,0,0.0407,0.319,0.000368,0.222,0.804,117.383,3,blues,3
0.781,0.764,-9.294,1,0.0999,0.132,0.02,0.515,0.696,128.022,4,techno,4
0.728,0.616,-4.238,1,0.0645,0.378,0.0,0.105,0.508,99.962,4,dance,4
0.692,0.656,-4.81,0,0.151,0.358,0.0029,0.0929,0.629,105.994,4,dance,4
0.328,0.732,-5.767,1,0.0394,0.212,0.0013,0.256,0.502,153.972,4,acoustic,4
0.782,0.575,-11.613,1,0.0279,0.034,0.0153,0.109,0.777,114.027,4,techno,3
0.601,0.787,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,4,dance,4
0.541,0.907,-4.512,1,0.0642,0.0158,0.000185,0.34,0.434,80.029,4,rock,5
0.602,0.658,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,4,dance,4
0.581,0.78,-9.502,1,0.045,0.0583,0.0449,0.631,0.918,112.242,4,jazz,4
0.669,0.974,-4.33,0,0.0369,0.0911,0.174,0.174,0.682,135.046,4,techno,5
0.168,0.00571,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,3,classical,1
0.344,0.0374,-24.581,1,0.035,0.995,0.894,0.24,0.423,85.832,4,classical,1
0.584,0.781,-7.547,1,0.0441,0.331,0.944,0.0896,0.903,126.9,4,jazz,4
0.64,0.69,-9.718,0,0.0528,0.0077,0.849,0.0841,0.0465,124.996,4,techno,4
0.607,0.064,-18.862,1,0.0392,0.964,0.86,0.111,0.155,93.965,4,classical,1
0.34,0.203,-10.356,0,0.0314,0.933,3.84e-05,0.125,0.161,141.052,3,acoustic,2
0.436,0.894,-4.909,1,0.0338,0.00145,0.000196,0.329,0.72,88.593,4,pop,5
0.621,0.676,-7.808,1,0.0303,0.506,0.0675,0.0825,0.482,104.008,4,country,4
0.547,0.729,-6.801,1,0.0445,0.3,1.75e-06,0.0963,0.817,120.334,4,country,4
0.344,0.952,-4.621,1,0.0458,0.0287,0.0,0.0368,0.767,205.651,4,pop,5
0.762,0.673,-7.367,1,0.0352,0.287,0.000269,0.0777,0.853,119.979,4,blues,4
0.446,0.0781,-25.151,1,0.0639,0.989,0.931,0.0958,0.165,71.176,3,classical,1
0.62,0.563,-9.03,1,0.0365,0.191,0.0,0.139,0.914,80.826,4,rock,3
0.599,0.189,-12.476,0,0.0899,0.806,7.5e-05,0.193,0.419,113.201,4,jazz,1
0.673,0.231,-15.543,1,0.0309,0.826,0.0712,0.12,0.432,143.891,4,techno,2
0.68,0.687,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,4,pop,4
0.218,0.207,-17.539,1,0.035,0.89,0.918,0.0891,0.155,132.606,4,classical,2
0.704,0.636,-11.103,1,0.0453,0.0757,0.714,0.063,0.762,109.078,4,jazz,4
0.542,0.435,-5.531,1,0.0463,0.101,9.3e-05,0.0852,0.207,135.219,4,acoustic,3
0.62,0.93,-3.685,1,0.0374,0.00043,0.0,0.0686,0.609,106.22,4,metal,5
0.652,0.871,-3.136,0,0.034,0.000535,1.23e-05,0.357,0.938,128.822,4,metal,5
0.817,0.775,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,4,dance,4
0.519,0.935,-5.656,0,0.0423,0.00454,0.0,0.0661,0.498,104.044,4,metal,5
0.286,0.427,-6.547,1,0.042,0.688,0.0,0.146,0.404,79.303,4,rock,3
0.277,0.663,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4,dance,4
0.262,0.606,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,4,dance,4
0.44,0.916,-4.222,0,0.266,0.000236,1.94e-05,0.0897,0.401,124.099,4,metal,5
0.754,0.376,-7.561,1,0.204,0.404,0.0,0.358,0.554,95.018,4,pop,2
0.586,0.404,-11.94,0,0.0494,0.506,0.165,0.0821,0.369,133.901,4,dance,3
0.511,0.566,-9.602,0,0.0342,0.189,0.564,0.705,0.485,105.48,4,blues,3
0.449,0.705,-10.818,1,0.0352,0.00365,0.0826,0.14,0.722,125.211,4,rock,4
0.421,0.791,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,4,dance,4
0.346,0.00398,-44.526,1,0.0537,0.992,0.878,0.0643,0.318,78.891,5,classical,1
0.37,0.772,-6.148,1,0.0536,0.000575,0.0,0.0745,0.375,174.775,4,acoustic,4
0.67,0.0294,-19.861,1,0.373,0.985,0.935,0.115,0.0807,75.22,1,jazz,1
0.471,0.868,-4.227,1,0.0564,0.00513,7.23e-06,0.22,0.552,186.67,4,pop,5
