,genre
6585,blues
762,jazz
10433,rock
550,blues
11113,classical
2416,rock
2661,country
8133,classical
6028,acoustic
9340,metal
4485,techno
1285,jazz
8470,techno
6772,jazz
10471,techno
226,dance
4374,pop
1990,techno
6801,metal
6296,jazz
5737,dance
4262,jazz
5561,blues
5853,pop
2916,rock
3771,jazz
11036,acoustic
11268,jazz
6356,pop
11362,pop
4314,metal
314,metal
6100,classical
10151,country
1493,techno
2052,blues
1358,pop
5669,country
7153,country
10617,classical
5446,rock
3403,rock
1721,dance
4526,acoustic
213,dance
10046,acoustic
10755,jazz
1267,jazz
1175,country
7486,techno
1953,techno
11246,dance
9313,metal
9985,techno
609,classical
600,classical
5332,metal
7287,jazz
8390,pop
10248,dance
7415,rock
8163,country
9076,blues
2076,blues
10857,pop
406,rock
1592,blues
9153,country
3598,blues
3174,country
9005,acoustic
7952,techno
7540,acoustic
1909,rock
1270,jazz
785,jazz
11075,blues
109,classical
6211,dance
7244,dance
8985,techno
1303,metal
8651,country
7536,acoustic
6657,country
847,metal
3251,jazz
7564,blues
6880,pop
9351,pop
8502,acoustic
4383,pop
9463,techno
3121,classical
7008,acoustic
6940,rock
2609,classical
3561,blues
8418,rock
5599,blues
10111,classical
1813,metal
1793,jazz
8652,country
10254,jazz
4958,techno
6237,dance
8324,metal
9863,pop
1973,techno
5462,techno
10621,classical
11605,classical
4096,blues
8284,jazz
4539,acoustic
2935,rock
7368,pop
3957,techno
8486,techno
9562,blues
3337,metal
4375,pop
2009,acoustic
10406,rock
6861,pop
645,classical
9500,acoustic
9498,techno
2728,dance
9523,acoustic
8935,rock
7408,rock
10126,classical
11138,classical
8857,pop
10529,acoustic
9652,country
4363,pop
6006,acoustic
425,rock
5375,pop
7066,blues
7363,pop
10676,country
3820,metal
10822,metal
7650,country
9209,dance
9935,rock
8695,country
6633,classical
9893,pop
3703,dance
2064,blues
216,dance
2718,dance
3589,blues
6734,dance
7328,metal
3162,country
1804,metal
6803,metal
7573,blues
5845,metal
5648,classical
9190,country
5573,blues
9284,jazz
3215,dance
3083,blues
2421,rock
10906,rock
814,metal
6480,techno
2914,rock
1366,pop
3026,acoustic
3201,dance
2959,techno
4339,metal
280,jazz
11419,rock
4602,classical
7780,jazz
126,classical
7596,blues
4902,rock
4242,dance
8361,pop
1983,techno
3583,blues
8959,techno
3170,country
8258,jazz
7329,metal
1306,metal
11251,jazz
8067,blues
7567,blues
1668,country
8017,acoustic
6291,jazz
1602,classical
10932,rock
1562,blues
10370,pop
7461,techno
4174,country
7199,country
6009,acoustic
9732,dance
4260,jazz
7493,techno
1767,jazz
10297,jazz
10888,pop
9833,metal
8856,pop
4739,dance
5081,blues
4027,acoustic
7716,dance
68,blues
5769,jazz
8301,metal
1738,dance
7628,classical
5923,rock
8925,rock
7318,metal
6386,pop
4179,country
10585,blues
3304,metal
5374,pop
2146,classical
6275,jazz
3230,dance
4256,jazz
5741,dance
8252,jazz
6955,techno
9781,jazz
11215,dance
196,country
7991,techno
9327,metal
9243,dance
10628,classical
539,acoustic
9041,acoustic
7006,acoustic
9620,classical
3302,metal
9068,blues
5060,blues
4714,dance
2745,dance
11927,rock
7583,blues
1440,rock
8231,dance
10329,metal
4506,acoustic
7687,country
6603,classical
5574,blues
471,techno
1856,pop
2401,rock
10276,jazz
6877,pop
2646,classical
4310,metal
11624,classical
3602,classical
8142,classical
10295,jazz
6385,pop
4999,techno
4928,rock
1072,blues
3989,techno
4468,techno
9274,jazz
1913,rock
4307,metal
6966,techno
9627,classical
6316,metal
10441,rock
2681,country
2889,pop
9606,classical
4200,dance
1795,jazz
10135,classical
11040,acoustic
10793,jazz
6424,rock
4110,classical
7015,acoustic
5614,classical
4225,dance
4004,acoustic
5751,jazz
6019,acoustic
